Brasserie,Commune,Province,Principales bières,coordinates
Brasserie Toye,Courtrai,Flandre-Occidentale,Goedendag,"(50.8276429, 3.2659884)"
Brasserie de Tubize,Tubize,Brabant wallon,Bétchard,"(50.6959512, 4.206305106273191)"
Microbrasserie Urthel,Ruiselede,Flandre-Occidentale,Urthel,"(51.04123, 3.3972673)"
Brasserie Vagebond,Merksplas,Anvers,"Vageblond, Vagebruin Winter","(51.3579924, 4.8627355)"
Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem","(50.365832, 4.3300464)"
Brasserie Valduc-Thor,Thorembais-Saint-Trond,Brabant wallon,"Fée verte, La petite sœur, Fée Steve, Rio, Thor","(50.62655215, 4.780410118340674)"
Brasserie Van Den Bossche,Herzele,Flandre-Orientale,"Pater Lieven, Buffalo","(50.8860005, 2.5319929)"
Brasserie Vandewalle,Lo-Reninge,Flandre-Occidentale,Reninge,"(50.9638066, 2.7643391)"
Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier","(50.8556646, 2.7264961)"
Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus","(50.9202812, 3.2549979)"
